medicamento_a_id,medicamento_a_nome,medicamento_b_id,medicamento_b_nome,classificacao_fallback,fonte_fallback,data_fonte_fallback,observacoes_fallback,acao_sugerida,comentario_revisao_clinica
acido_tranexamico,Ácido Tranexâmico,dexmedetomidina,Dexmedetomidina,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
adrenalina,Adrenalina,amiodarona_cloridrato,Amiodarona (Cloridrato),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
adrenalina,Adrenalina,cloreto_calcio,Cloreto de Cálcio,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
albumina_humana_20,Albumina Humana 20%,dexmedetomidina,Dexmedetomidina,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
aminofilina,Aminofilina,cetamina_cloridrato,Cetamina (Cloridrato),incompativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
aminofilina,Aminofilina,cloreto_potassio,Cloreto de Potássio,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
aminofilina,Aminofilina,dexmedetomidina,Dexmedetomidina,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
aminofilina,Aminofilina,dobutamina_cloridrato,Dobutamina (Cloridrato),incompativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
aminofilina,Aminofilina,dopamina_cloridrato,Dopamina (Cloridrato),incompativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
aminofilina,Aminofilina,furosemida,Furosemida,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
aminofilina,Aminofilina,isoprenalina_cloridrato,Isoprenalina (Cloridrato),incompativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
aminofilina,Aminofilina,labetalol_cloridrato,Labetalol (Cloridrato),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
aminofilina,Aminofilina,midazolam_cloridrato,Midazolam (Cloridrato),variavel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
aminofilina,Aminofilina,morfina_sulfato,Morfina (Sulfato),incompativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
aminofilina,Aminofilina,noradrenalina_bitartarato,Noradrenalina (Bitartarato),incompativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
aminofilina,Aminofilina,piperacilina_sodica_tazobactam,Piperacilina (Sódica) + Tazobactam,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
aminofilina,Aminofilina,propofol,Propofol,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
aminofilina,Aminofilina,remifentanil_cloridrato,Remifentanil (Cloridrato),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
aminofilina,Aminofilina,tacrolimus,Tacrolimus,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
aminofilina,Aminofilina,vancomicina_cloridrato,Vancomicina (Cloridrato),incompativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
amiodarona_cloridrato,Amiodarona (Cloridrato),cetamina_cloridrato,Cetamina (Cloridrato),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
amiodarona_cloridrato,Amiodarona (Cloridrato),cloreto_potassio,Cloreto de Potássio,variavel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
amiodarona_cloridrato,Amiodarona (Cloridrato),dexmedetomidina,Dexmedetomidina,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
amiodarona_cloridrato,Amiodarona (Cloridrato),dopamina_cloridrato,Dopamina (Cloridrato),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
